filename,xmin,ymin,xmax,ymax,label
63.png,96,23,136,86,4
63.png,132,27,169,90,3
64.png,26,4,34,30,2
64.png,37,3,53,29,9
65.png,25,6,36,27,5
65.png,36,7,48,28,8
66.png,38,6,49,36,9
66.png,46,6,60,36,5
67.png,48,5,60,52,1
67.png,59,4,81,51,0
68.png,71,19,85,54,5
68.png,88,19,101,54,4
68.png,102,14,122,49,2
69.png,54,12,69,58,4
69.png,67,16,81,62,4
70.png,20,5,31,21,3
70.png,30,5,37,21,1
71.png,24,4,35,26,2
71.png,36,4,46,26,3
71.png,48,3,57,25,8
71.png,58,3,68,25,6
72.png,26,6,33,23,1
72.png,34,5,45,22,5
73.png,18,3,23,17,3
74.png,28,4,38,30,3
74.png,40,6,52,32,3
75.png,34,10,41,39,1
75.png,40,9,51,38,8
76.png,22,2,28,20,9
76.png,29,2,35,20,8
77.png,53,5,83,65,7
77.png,84,4,108,64,3
77.png,106,6,130,66,9
78.png,78,14,87,36,1
78.png,86,14,94,36,3
78.png,93,12,104,34,8
79.png,40,41,62,92,1
79.png,64,33,94,84,9
79.png,99,17,134,68,2
79.png,138,11,169,62,2
80.png,38,11,50,30,2
80.png,54,8,70,27,2
81.png,49,8,63,39,7
81.png,64,7,81,38,4
82.png,35,8,54,38,4
82.png,54,6,72,36,5
83.png,36,6,52,35,6
83.png,53,15,65,44,0
84.png,34,6,54,38,3
85.png,17,7,23,22,1
85.png,23,6,30,21,7
86.png,26,4,33,24,3
86.png,33,5,42,25,5
87.png,67,16,81,51,1
87.png,81,17,105,52,7
88.png,47,13,74,49,5
89.png,85,23,111,87,1
89.png,110,19,143,83,8
90.png,37,6,43,36,1
90.png,46,7,59,37,6
90.png,61,10,74,40,4
91.png,49,18,58,44,1
91.png,59,17,70,43,9
91.png,68,13,79,39,3
92.png,35,6,54,41,3
92.png,56,8,70,43,5
93.png,40,11,52,43,1
93.png,51,7,70,39,7
94.png,54,18,66,52,1
94.png,67,12,86,46,2
95.png,127,58,137,84,1
95.png,136,60,145,86,0
95.png,148,60,159,86,4
95.png,157,59,167,85,4
96.png,33,6,56,45,1
96.png,56,5,88,44,8
97.png,34,8,50,40,3
97.png,48,6,62,38,6
98.png,50,7,65,44,1
98.png,66,7,87,44,2
98.png,85,11,112,48,0
99.png,30,4,47,33,2
100.png,18,1,23,23,1
100.png,23,0,32,22,0
100.png,32,0,42,22,9
101.png,27,7,40,34,5
101.png,42,5,54,32,3
102.png,58,14,76,65,3
102.png,77,9,93,60,5
103.png,54,2,74,30,7
104.png,67,18,96,87,1
104.png,99,20,120,89,0
104.png,122,12,148,81,4
105.png,83,13,127,113,1
105.png,128,10,197,110,4
106.png,37,12,47,29,1
106.png,49,12,60,29,4
107.png,49,16,63,45,5
107.png,64,13,80,42,2
108.png,28,3,42,30,2
109.png,38,11,56,39,3
109.png,57,10,71,38,0
110.png,16,1,26,19,6
110.png,27,1,38,19,3
111.png,23,8,34,28,9
112.png,31,2,45,39,1
112.png,44,1,65,38,8
112.png,63,6,82,43,7
113.png,19,1,27,22,1
113.png,27,3,39,24,3
114.png,29,6,36,34,1
114.png,37,4,47,32,9
115.png,26,1,35,27,3
115.png,38,1,51,27,2
116.png,27,12,35,26,5
116.png,34,12,40,26,1
116.png,40,11,49,25,3
117.png,145,8,224,153,4
117.png,224,13,311,158,8
118.png,13,2,22,17,3
118.png,22,2,31,17,4
118.png,31,1,40,16,2
118.png,40,1,47,16,1
119.png,91,55,118,103,3
119.png,113,44,142,92,2
119.png,135,33,174,81,3
120.png,65,20,89,60,5
120.png,84,20,101,60,1
121.png,32,8,38,29,1
121.png,43,8,56,29,3
121.png,63,7,74,28,5
121.png,79,7,92,28,8
122.png,21,2,25,25,1
122.png,26,1,31,24,7
123.png,25,5,35,27,6
124.png,19,1,29,24,5
125.png,18,3,24,20,6
125.png,23,3,33,20,4
126.png,56,14,71,66,1
126.png,72,12,94,64,0
126.png,97,8,118,60,8
127.png,32,15,48,51,8
128.png,56,16,65,61,1
128.png,65,22,76,67,3
129.png,21,5,29,22,6
129.png,29,5,38,22,8
130.png,26,4,43,25,4
131.png,24,6,32,24,1
131.png,32,5,43,23,7
131.png,44,5,55,23,4
132.png,78,20,121,87,9
132.png,122,8,158,75,8
133.png,91,13,134,112,4
133.png,132,14,176,113,4
134.png,16,2,25,16,9
135.png,26,2,39,30,6
135.png,41,3,53,31,8
136.png,52,10,67,47,2
137.png,50,10,64,53,1
137.png,70,10,87,53,0
138.png,60,19,77,56,4
138.png,81,15,101,52,6
139.png,21,1,34,24,2
139.png,35,2,48,25,8
140.png,18,1,30,19,9
141.png,25,4,34,28,3
141.png,35,2,43,26,9
142.png,92,7,157,94,4
143.png,51,13,68,37,4
143.png,67,14,81,38,1
144.png,27,3,35,31,1
144.png,36,3,50,31,9
144.png,51,3,62,31,5
145.png,93,18,131,111,3
145.png,120,23,158,116,3
146.png,23,4,30,17,2
146.png,29,5,38,18,5
146.png,37,7,43,20,1
146.png,43,6,52,19,8
147.png,28,3,34,27,1
147.png,34,3,48,27,5
148.png,140,43,156,73,3
148.png,161,43,180,73,0
148.png,183,42,202,72,0
149.png,19,3,27,20,4
149.png,26,3,35,20,7
150.png,136,36,155,63,2
150.png,156,36,168,63,8
150.png,167,35,185,62,6
151.png,25,4,39,25,3
151.png,40,4,55,25,3
152.png,52,8,67,45,2
152.png,66,10,78,47,0
152.png,76,9,87,46,7
153.png,30,7,36,35,1
153.png,36,7,45,35,9
154.png,18,3,32,23,2
155.png,68,13,90,57,7
156.png,35,9,51,37,6
157.png,37,7,63,44,5
157.png,65,7,88,44,7
158.png,113,34,166,115,2
159.png,28,11,51,40,9
159.png,51,6,65,35,1
160.png,49,9,57,36,2
160.png,59,11,67,38,0
160.png,70,11,83,38,8
161.png,91,26,124,89,8
161.png,118,25,151,88,5
162.png,32,1,53,37,3
163.png,148,49,173,85,5
163.png,167,46,189,82,6
163.png,184,46,209,82,0
164.png,57,10,81,67,5
165.png,45,12,59,52,1
165.png,58,13,78,53,7
165.png,78,14,101,54,6
166.png,40,18,64,45,7
166.png,55,11,76,38,5
166.png,72,7,93,34,4
167.png,30,8,35,23,1
167.png,35,8,46,23,5
168.png,30,8,37,32,2
168.png,36,9,42,33,8
168.png,42,8,50,32,2
169.png,26,3,47,36,4
169.png,43,3,61,36,2
170.png,30,4,42,32,7
170.png,41,8,57,36,6
171.png,53,16,85,56,4
171.png,80,14,94,54,1
171.png,96,13,120,53,9
172.png,31,6,40,31,2
172.png,45,7,49,32,1
173.png,17,5,23,21,1
173.png,25,4,30,20,1
174.png,31,6,43,31,5
174.png,42,4,58,29,9
175.png,28,8,39,36,5
175.png,40,8,53,36,6
175.png,54,8,67,36,8
176.png,82,15,115,65,5
177.png,125,45,147,95,1
177.png,148,49,173,99,5
177.png,169,51,192,101,8
178.png,31,5,42,31,2
178.png,42,5,48,31,1
179.png,33,4,42,32,2
179.png,43,1,53,29,5
180.png,16,5,22,22,1
180.png,23,5,30,22,7
180.png,31,4,41,21,4
180.png,40,4,50,21,2
181.png,45,6,62,45,3
181.png,63,10,82,49,7
182.png,29,1,57,42,3
182.png,55,2,77,43,4
183.png,22,2,34,25,2
183.png,32,3,40,26,1
184.png,53,28,77,61,2
184.png,77,29,98,62,8
184.png,96,34,119,67,0
184.png,116,32,138,65,0
185.png,10,2,15,13,2
185.png,17,1,22,12,5
185.png,23,1,28,12,6
186.png,34,8,47,57,1
186.png,49,9,71,58,3
186.png,71,10,101,59,0
187.png,20,2,32,27,1
187.png,32,1,49,26,9
188.png,38,11,54,43,4
188.png,55,12,72,44,5
189.png,35,4,55,35,9
190.png,15,3,21,15,2
190.png,22,3,28,15,6
191.png,26,7,34,27,1
191.png,35,7,46,27,5
191.png,46,5,57,25,9
192.png,22,2,34,24,3
193.png,123,24,146,109,1
194.png,47,14,54,33,4
194.png,56,13,67,32,3
195.png,15,3,20,16,1
195.png,20,4,27,17,2
196.png,45,10,70,61,1
197.png,23,4,31,27,3
197.png,31,5,36,28,1
197.png,37,6,45,29,6
198.png,29,8,51,40,2
198.png,49,9,71,41,9
198.png,68,9,85,41,7
199.png,145,41,222,190,2
199.png,206,34,274,183,0
200.png,97,4,117,36,3
200.png,113,7,129,39,1
200.png,126,10,144,42,8
201.png,31,3,52,41,2
201.png,52,4,69,42,3
202.png,148,70,166,105,1
202.png,165,69,188,104,0
202.png,179,56,202,91,5
203.png,69,30,89,69,2
203.png,86,22,102,61,4
203.png,97,9,117,48,1
204.png,32,4,44,26,4
205.png,28,7,40,31,4
205.png,37,8,46,32,9
206.png,223,96,238,126,4
206.png,238,91,253,121,9
207.png,118,35,158,114,1
207.png,148,34,188,113,1
207.png,180,34,223,113,1
208.png,24,3,34,21,9
209.png,42,9,51,44,1
209.png,53,2,69,37,8
209.png,72,11,88,46,8
210.png,46,8,66,47,2
210.png,68,10,89,49,6
211.png,19,2,29,20,2
211.png,35,2,43,20,7
212.png,43,13,54,42,2
212.png,55,13,62,42,9
213.png,59,4,78,56,1
214.png,32,3,45,27,8
215.png,43,7,66,38,3
215.png,66,9,88,40,0
215.png,89,10,114,41,2
216.png,63,13,90,48,2
216.png,91,23,119,58,8
216.png,119,34,144,69,0
217.png,50,12,73,49,2
218.png,21,4,27,23,1
218.png,27,2,36,21,8
219.png,82,52,130,118,3
219.png,115,35,152,101,2
219.png,137,19,170,85,8
220.png,47,4,74,59,5
220.png,72,5,96,60,1
221.png,25,4,33,29,1
221.png,34,5,46,30,5
221.png,46,6,57,31,7
222.png,23,4,32,23,2
223.png,23,4,32,24,1
223.png,33,4,41,24,9
223.png,41,3,51,23,0
224.png,48,14,66,55,6
224.png,66,15,86,56,8
225.png,41,10,51,32,2
226.png,23,6,28,28,1
226.png,28,5,39,27,3
226.png,39,4,50,26,6
227.png,22,5,27,21,1
228.png,59,13,75,45,1
228.png,73,13,81,45,1
228.png,80,12,91,44,1
229.png,19,5,28,20,7
229.png,27,5,36,20,2
230.png,44,5,67,47,3
231.png,38,12,44,39,1
231.png,45,12,54,39,4
231.png,56,11,65,38,4
232.png,30,8,36,32,1
232.png,36,8,45,32,0
233.png,35,11,53,42,1
233.png,56,10,71,41,3
233.png,75,11,88,42,5
233.png,92,9,107,40,8
234.png,44,12,55,32,8
234.png,52,10,64,30,4
235.png,39,9,55,42,2
235.png,56,11,65,44,1
235.png,65,11,78,44,0
236.png,63,19,76,59,1
236.png,75,18,86,58,1
236.png,83,18,104,58,4
237.png,142,50,154,76,1
237.png,152,48,163,74,9
237.png,159,45,172,71,3
238.png,30,8,47,30,7
238.png,47,8,64,30,7
239.png,22,2,30,22,1
239.png,31,3,37,23,4
239.png,39,2,51,22,0
240.png,127,41,147,80,3
240.png,140,41,166,80,9
241.png,15,3,19,17,1
241.png,21,4,28,18,5
242.png,23,6,37,29,1
242.png,37,5,50,28,5
243.png,28,7,34,20,2
243.png,35,6,43,19,3
243.png,42,6,50,19,6
243.png,52,7,60,20,3
244.png,34,11,40,38,1
244.png,42,8,54,35,5
245.png,29,8,43,30,3
245.png,42,9,55,31,8
246.png,63,16,86,56,5
246.png,86,20,102,60,1
247.png,13,1,24,17,2
248.png,23,4,39,26,7
249.png,30,5,40,32,1
249.png,38,4,49,31,0
250.png,24,3,32,23,7
250.png,32,5,41,25,8
251.png,70,7,107,89,7
251.png,106,9,142,91,6
252.png,-1,26,15,60,3
252.png,12,17,36,51,7
252.png,34,6,63,40,0
253.png,35,12,48,45,1
253.png,46,7,58,40,9
254.png,30,5,48,37,3
254.png,47,4,65,36,5
255.png,55,8,89,63,9
255.png,82,8,119,63,3
256.png,31,2,51,35,2
256.png,50,3,68,36,8
257.png,80,30,97,71,1
257.png,103,35,118,76,1
258.png,45,1,79,61,5
258.png,78,3,111,63,6
259.png,51,14,70,44,5
260.png,2,2,15,22,3
260.png,18,2,35,22,6
261.png,15,1,19,17,1
261.png,18,1,24,17,4
262.png,61,23,79,67,2
262.png,78,25,101,69,4
262.png,59,26,79,72,1
263.png,46,14,61,52,7
263.png,62,14,72,52,1
264.png,27,5,43,33,2
264.png,44,6,55,34,1
264.png,57,3,69,31,9
264.png,67,5,83,33,0
265.png,46,10,71,55,7
265.png,70,7,95,52,6
266.png,125,27,179,116,5
266.png,173,26,223,115,0
267.png,3,9,23,63,2
267.png,33,11,51,65,1
268.png,34,12,42,36,6
269.png,33,7,49,39,3
269.png,52,5,69,37,5
269.png,68,6,88,38,3
270.png,25,3,37,33,2
270.png,37,2,47,32,5
270.png,51,1,64,31,5
271.png,18,1,26,25,1
271.png,26,1,37,25,9
272.png,44,7,55,42,4
272.png,57,6,65,41,6
272.png,69,4,84,39,4
273.png,31,8,49,35,9
274.png,28,3,37,31,1
274.png,36,3,49,31,6
274.png,47,4,60,32,6
275.png,27,4,43,26,2
275.png,41,4,61,26,5
276.png,26,11,35,28,1
276.png,35,13,42,30,7
276.png,42,10,55,27,8
277.png,29,6,35,23,5
277.png,33,6,40,23,7
278.png,84,24,98,47,1
278.png,95,31,110,54,4
279.png,34,5,44,39,1
279.png,44,5,54,39,1
280.png,23,5,33,21,1
281.png,22,2,31,26,2
281.png,31,1,41,25,9
282.png,21,3,32,21,3
282.png,32,3,42,21,7
283.png,142,53,151,80,1
283.png,148,49,157,76,1
283.png,155,49,167,76,3
284.png,21,7,26,19,1
284.png,27,6,33,18,1
285.png,45,11,56,43,6
285.png,57,12,64,44,1
286.png,57,14,71,52,1
286.png,72,15,92,53,3
287.png,41,8,58,44,4
287.png,60,10,70,46,1
288.png,90,25,110,61,2
288.png,109,25,134,61,9
288.png,131,24,151,60,2
289.png,49,16,58,46,1
289.png,56,17,64,47,1
290.png,74,18,89,64,1
290.png,93,17,109,63,1
291.png,19,5,28,21,6
291.png,28,6,36,22,0
291.png,36,6,43,22,8
292.png,48,4,78,60,4
293.png,28,4,35,30,7
293.png,36,2,46,28,4
294.png,52,4,62,50,1
294.png,69,4,90,50,0
294.png,94,2,110,48,4
295.png,19,1,30,23,1
295.png,32,2,43,24,1
296.png,46,15,58,34,3
296.png,58,15,70,34,3
297.png,78,19,111,74,6
297.png,111,20,152,75,0
298.png,27,6,32,19,1
298.png,32,5,40,18,5
298.png,39,5,46,18,1
299.png,26,6,35,21,7
299.png,37,6,44,21,9
300.png,85,24,118,79,9
301.png,16,1,25,18,6
302.png,32,8,43,39,5
302.png,43,6,57,37,0
303.png,25,4,40,26,2
303.png,36,4,49,26,3
304.png,25,5,38,33,1
304.png,35,5,51,33,7
305.png,24,7,28,22,1
305.png,30,7,35,22,5
305.png,36,6,44,21,3
306.png,44,13,62,49,8
306.png,62,8,78,44,7
307.png,85,9,135,98,2
307.png,135,14,184,103,3
308.png,56,19,73,48,2
308.png,74,17,88,46,1
308.png,88,13,105,42,8
309.png,45,18,56,40,1
309.png,53,17,63,39,2
309.png,60,16,71,38,4
310.png,19,4,32,24,6
310.png,32,3,44,23,8
311.png,35,4,50,47,1
311.png,49,1,76,44,3
312.png,24,7,35,32,1
312.png,36,7,51,32,2
313.png,11,3,18,17,1
313.png,19,2,24,16,4
314.png,35,4,51,36,4
314.png,50,2,65,34,8
315.png,17,1,24,18,4
315.png,24,1,30,18,2
315.png,31,1,35,18,1
316.png,52,12,79,60,2
316.png,79,9,110,57,5
317.png,15,1,21,18,4
317.png,20,1,27,18,4
318.png,19,1,27,27,1
318.png,29,1,41,27,7
318.png,41,3,50,29,1
319.png,92,21,133,76,6
319.png,131,35,169,90,8
320.png,35,9,56,47,7
320.png,54,7,71,45,3
321.png,157,34,173,52,4
321.png,172,34,188,52,0
321.png,189,31,203,49,5
322.png,26,5,38,32,3
322.png,37,4,46,31,1
323.png,59,10,90,67,4
323.png,85,9,108,66,1
324.png,40,5,62,44,2
324.png,65,7,90,46,6
324.png,87,6,113,45,6
325.png,62,34,77,60,4
325.png,76,28,88,54,5
325.png,87,31,104,57,0
326.png,52,8,91,69,3
326.png,92,3,132,64,0
327.png,66,20,76,46,1
327.png,73,19,84,45,6
327.png,79,18,91,44,6
328.png,48,11,59,53,7
328.png,58,10,74,52,7
329.png,17,4,22,18,1
329.png,21,4,27,18,1
329.png,27,4,37,18,4
330.png,58,9,72,57,1
330.png,72,10,91,58,1
331.png,37,9,63,47,2
331.png,64,9,88,47,3
332.png,28,2,36,25,1
333.png,36,20,45,47,1
333.png,46,18,58,45,4
333.png,60,11,73,38,8
334.png,38,12,46,31,1
334.png,44,12,52,31,6
334.png,52,11,60,30,4
334.png,59,11,67,30,8
335.png,41,11,60,50,1
335.png,57,9,78,48,5
336.png,36,4,51,28,5
336.png,52,4,62,28,4
337.png,159,62,189,130,1
337.png,192,67,210,135,1
337.png,209,67,263,135,0
338.png,53,15,78,56,5
338.png,76,13,98,54,5
338.png,97,10,119,51,3
339.png,66,15,100,74,8
339.png,105,15,132,74,2
340.png,27,5,36,35,4
340.png,37,5,51,35,3
341.png,100,55,130,99,2
341.png,135,35,174,79,8
341.png,173,31,212,75,9
342.png,47,6,71,71,1
342.png,87,6,123,71,8
343.png,56,8,83,56,2
344.png,41,6,67,47,9
344.png,99,5,125,46,9
345.png,44,9,57,43,4
346.png,19,5,26,17,4
346.png,26,5,34,17,8
347.png,79,28,101,67,5
347.png,100,19,120,58,0
348.png,29,1,54,40,8
349.png,21,5,26,16,2
350.png,28,2,46,36,3
350.png,47,1,62,35,2
351.png,34,11,50,39,4
352.png,50,19,64,46,4
353.png,51,34,62,57,2
353.png,60,36,69,59,7
353.png,66,37,78,60,4
353.png,76,36,85,59,4
354.png,40,6,50,48,1
354.png,51,2,68,44,3
354.png,68,4,87,46,8
355.png,13,2,21,16,7
355.png,22,2,31,16,4
355.png,31,1,39,15,0
356.png,39,7,58,32,2
357.png,49,10,74,65,5
357.png,76,11,121,66,3
358.png,27,6,35,27,2
358.png,36,6,44,27,8
359.png,22,3,27,22,1
360.png,29,6,38,28,5
360.png,38,6,46,28,8
361.png,43,13,53,42,1
361.png,53,12,69,41,7
362.png,33,7,43,30,3
362.png,52,10,65,33,4
363.png,103,30,123,64,8
363.png,121,32,140,66,3
363.png,139,34,154,68,0
364.png,29,6,46,32,6
365.png,67,11,88,79,8
365.png,88,11,109,79,3
366.png,62,7,100,81,4
367.png,43,10,58,54,1
367.png,56,9,78,53,5
368.png,19,1,30,18,5
368.png,30,2,40,19,6
369.png,36,3,52,48,1
369.png,54,4,77,49,6
370.png,37,5,56,54,1
370.png,51,6,72,55,1
371.png,35,1,47,37,8
372.png,19,1,27,27,1
372.png,27,1,37,27,5
373.png,45,11,70,55,3
373.png,72,8,94,52,8
374.png,29,7,37,24,9
374.png,36,8,44,25,6
375.png,113,53,147,118,3
375.png,143,39,165,104,1
375.png,163,23,199,88,5
376.png,73,27,87,52,5
376.png,81,24,92,49,1
377.png,43,4,81,58,4
378.png,39,9,63,50,7
379.png,125,27,167,119,3
379.png,161,40,204,132,0
380.png,8,1,13,13,2
380.png,13,1,20,13,9
381.png,65,23,73,45,1
381.png,72,23,83,45,9
381.png,85,24,94,46,1
382.png,29,7,36,26,6
382.png,35,6,42,25,5
382.png,42,7,50,26,8
383.png,43,4,64,50,7
383.png,63,6,83,52,2
384.png,66,29,83,52,3
384.png,78,24,97,47,5
384.png,88,19,107,42,5
385.png,61,14,84,56,2
385.png,83,17,104,59,6
385.png,104,17,117,59,1
386.png,51,5,73,60,4
386.png,73,7,93,62,2
387.png,86,51,114,101,9
387.png,122,36,156,86,9
387.png,158,17,191,67,5
388.png,46,2,56,36,3
388.png,56,3,67,37,2
389.png,55,1,98,67,4
390.png,30,5,42,35,5
390.png,42,4,56,34,0
391.png,19,2,27,20,2
391.png,27,3,34,21,1
392.png,39,7,60,51,5
392.png,60,6,81,50,9
393.png,69,21,87,60,8
393.png,94,18,112,57,0
393.png,118,15,136,54,0
394.png,55,10,71,44,8
395.png,98,28,135,94,1
395.png,174,30,221,96,2
395.png,252,22,301,88,9
396.png,24,5,29,25,1
396.png,32,5,40,25,7
396.png,42,5,51,25,9
396.png,54,4,63,24,8
397.png,44,13,55,43,1
397.png,55,11,75,41,0
397.png,75,8,92,38,4
398.png,32,4,55,36,5
398.png,57,4,82,36,4
399.png,82,24,143,108,6
399.png,141,15,193,99,2
400.png,14,1,25,20,2
400.png,25,1,36,20,3
401.png,13,1,23,17,1
401.png,21,1,27,17,1
401.png,29,1,37,17,6
402.png,54,9,84,63,4
403.png,20,3,30,29,1
403.png,30,3,40,29,6
403.png,39,2,50,28,5
404.png,144,36,181,122,3
404.png,183,29,209,115,9
404.png,214,24,236,110,8
405.png,208,77,237,138,5
405.png,237,74,260,135,5
406.png,47,16,65,50,2
406.png,65,9,79,43,7
406.png,79,8,91,42,0
407.png,15,1,22,19,2
407.png,22,1,28,19,7
408.png,216,45,231,75,1
408.png,229,48,244,78,7
409.png,21,2,33,27,9
409.png,36,4,50,29,3
410.png,92,38,131,104,6
410.png,129,21,171,87,5
411.png,286,64,462,357,2
411.png,489,69,644,362,6
412.png,64,44,81,74,1
412.png,75,32,98,62,2
412.png,89,24,111,54,3
412.png,105,13,130,43,5
413.png,20,2,32,26,1
413.png,29,3,44,27,3
414.png,21,4,27,24,1
414.png,27,4,36,24,6
415.png,42,11,50,31,1
415.png,49,10,64,30,2
415.png,63,11,76,31,7
416.png,66,10,89,64,5
416.png,87,5,124,59,2
417.png,116,34,155,109,2
417.png,149,36,193,111,8
418.png,42,6,57,39,5
418.png,59,6,72,39,6
419.png,40,4,48,38,1
419.png,51,3,64,37,2
420.png,27,3,36,25,1
420.png,37,4,50,26,5
420.png,52,4,66,26,7
420.png,67,4,83,26,9
421.png,7,1,17,21,2
421.png,21,2,31,22,6
421.png,32,2,40,22,4
422.png,22,3,30,23,9
422.png,32,3,41,23,0
423.png,27,7,39,31,4
423.png,41,8,54,32,4
424.png,72,12,99,55,9
425.png,92,22,113,99,1
425.png,109,22,149,99,7
426.png,27,6,36,30,4
426.png,36,5,44,29,1
427.png,49,6,86,65,3
427.png,82,7,117,66,5
428.png,73,19,104,77,3
429.png,56,10,69,44,3
429.png,70,13,88,47,3
429.png,90,13,105,47,0
430.png,178,41,374,179,4
431.png,51,9,78,62,1
432.png,20,6,28,19,9
432.png,28,6,35,19,3
433.png,35,8,44,36,1
433.png,44,4,60,32,2
434.png,59,9,75,38,0
435.png,25,7,32,29,1
435.png,32,6,42,28,2
435.png,43,5,51,27,1
436.png,46,7,74,58,6
436.png,75,4,106,55,3
437.png,24,4,31,28,3
437.png,31,2,40,26,7
438.png,34,5,48,35,5
438.png,47,9,62,39,8
439.png,54,15,75,55,6
439.png,77,14,99,54,7
440.png,54,10,70,60,1
440.png,71,12,95,62,7
441.png,40,25,52,49,1
441.png,51,20,66,44,9
441.png,62,10,80,34,2
442.png,39,9,48,44,1
443.png,16,3,21,18,7
443.png,20,2,28,17,8
444.png,55,8,84,56,2
444.png,78,9,109,57,2
445.png,32,4,47,38,1
445.png,46,6,70,40,0
446.png,22,1,39,32,2
446.png,38,3,51,34,1
446.png,51,1,68,32,3
447.png,46,9,71,55,6
448.png,104,38,124,83,5
448.png,124,44,143,89,3
449.png,32,6,44,39,3
449.png,48,3,62,36,0
450.png,98,54,126,102,4
450.png,116,38,153,86,4
450.png,133,28,176,76,3
451.png,40,5,52,34,6
451.png,53,6,66,35,4
452.png,29,8,37,24,4
452.png,37,10,45,26,4
452.png,43,8,52,24,5
453.png,59,11,87,58,5
453.png,88,13,116,60,2
454.png,88,29,98,67,1
454.png,98,28,117,66,5
454.png,118,30,136,68,6
455.png,29,1,45,37,5
455.png,47,2,57,38,3
456.png,43,7,60,53,2
456.png,59,5,76,51,3
457.png,100,54,137,116,8
457.png,123,46,164,108,6
457.png,147,31,192,93,0
458.png,25,5,30,24,1
458.png,30,3,36,22,0
458.png,38,3,47,22,0
459.png,43,7,68,54,5
459.png,67,5,95,52,6
459.png,93,7,123,54,0
460.png,31,5,46,40,1
461.png,52,10,85,74,5
